roll,pitch,yaw
-0.008880001,0.05627,1.00196
-0.00758,0.05644,1.00418
-0.0067399996,0.05627,1.00601
-0.00275,0.05429,1.00798
4.3000001E-4,0.05448,1.00938
0.0017799999,0.05037,1.01073
0.00291,0.04879,1.0116401
0.00308,0.04778,1.01263
0.0026800002,0.04367,1.01375
0.0024,0.042740002,1.01381
0.00191,0.04462,1.01447
0.0010599999,0.044150002,1.01523
0.00122,0.04485,1.01542
0.00262,0.04698,1.0154899
0.00297,0.04915,1.01545
0.0019500001,0.04987,1.01481
5.8E-4,0.05065,1.01418
-0.00246,0.053060003,1.01351
-0.0048499997,0.05338,1.01289
-0.00623,0.05333,1.01247
-0.00644,0.053009998,1.01223
-0.00573,0.05312,1.0117999
-0.00486,0.052360002,1.01148
-0.0043699997,0.0501,1.0109199
-0.00397,0.05147,1.0104699
-0.00503,0.05044,1.00994
-0.00587,0.0489,1.00932
-0.00665,0.05045,1.00885
-0.00702,0.05129,1.0086501
-0.00708,0.04967,1.0084001
-0.00731,0.049709998,1.00835
-0.0077600004,0.04953,1.00832
-0.00648,0.048529997,1.00814
-0.00461,0.04888,1.00754
-0.00558,0.04816,1.0073301
-0.0056,0.04898,1.00714
-0.0052,0.05001,1.00629
-0.00577,0.04884,1.0059099
-0.00587,0.04962,1.0057
-0.00384,0.05025,1.00463
-0.00467,0.04909,1.0043
-0.00435,0.050169997,1.00389
-0.00286,0.051400002,1.00366
-0.00402,0.05,1.00332
-0.00267,0.05052,1.0030301
-0.00138,0.052029997,1.0029
-0.0020899998,0.05089,1.00268
-0.00284,0.05004,1.00225
-0.00201,0.051080003,1.00205
-0.00114,0.0521,1.00177
-0.00151,0.05092,1.00144
-0.00237,0.04993,1.0010301
-0.00143,0.05089,1.00075
-0.00177,0.049560003,1.00044
-0.0024,0.049119998,1.00029
-0.0018099999,0.04991,0.99996
-0.0021199998,0.049200002,0.99985
-0.00298,0.04814,0.99971
-0.00188,0.048919998,0.99926
-0.00269,0.04895,0.99888
-0.00333,0.04823,0.99855
-0.00342,0.04677,0.99802
-0.00373,0.04749,0.99765
-0.00217,0.04865,0.99745
-0.00276,0.047560003,0.99725
-0.0041199997,0.047220003,0.99684995
-0.00234,0.04795,0.99671
-0.0025,0.04633,0.99656
-0.00377,0.04609,0.99625
-0.0021600001,0.04664,0.99586
-4.9E-4,0.04707,0.99562
-0.00158,0.04669,0.99521995
-0.00243,0.04603,0.99482
-3.8999997E-4,0.04617,0.99459004
-7.3E-4,0.047220003,0.99433
-0.0018099999,0.04637,0.99417
-5.0000002E-5,0.04648,0.99412
-7.9E-4,0.04725,0.99375
-0.0015,0.04657,0.99356
-0.00228,0.046490002,0.99315995
-0.00114,0.04696,0.99265003
-0.0020899998,0.0467,0.99217
-0.0021,0.04775,0.9919
-0.00244,0.04634,0.99147
-0.00279,0.047330003,0.99097997
-0.0016000001,0.04859,0.99073
-0.0021,0.047459997,0.99063003
-0.00292,0.046830002,0.99031
-0.00254,0.04798,0.99013
-0.0026500002,0.046400003,0.98990005
-0.00235,0.0452,0.98967
-0.00355,0.044970002,0.98923
-0.00249,0.04553,0.98896
-0.00283,0.04578,0.98864
-0.00378,0.04481,0.98826003
