96215,-23.63,-6.33,-1114.87,11.25,-7.03,-19.35,
96224,-23.46,-6.28,-1114.87,12.39,-6.85,-19.25,
96234,-23.77,-5.87,-1114.93,14.12,-8.18,-19.50,
96244,-24.07,-5.62,-1114.96,14.12,-7.69,-19.40,
96254,-24.39,-5.94,-1114.98,14.23,-5.62,-19.33,
96265,-24.20,-6.08,-1114.96,12.60,-6.22,-19.23,
96274,-24.60,-6.11,-1114.98,14.69,-6.61,-19.35,
96325,-23.92,-5.96,-1114.96,13.81,-6.67,-19.35,
96335,-24.28,-5.75,-1114.96,14.56,-7.50,-19.31,
96346,-24.28,-5.94,-1114.93,13.27,-6.09,-19.16,
96355,-23.80,-5.84,-1114.91,11.50,-7.10,-19.20,
96365,-24.01,-5.93,-1114.92,13.80,-6.43,-16.42,
96375,-24.42,-6.31,-1114.96,14.54,-5.37,-16.54,
96386,-24.61,-7.18,-1114.97,13.82,-3.53,-16.40,
96435,-25.14,-6.79,-1115.04,12.65,-5.63,-19.05,
96445,-25.34,-6.81,-1115.05,14.12,-6.54,-19.15,
96455,-25.50,-6.72,-1115.08,14.02,-6.95,-19.23,
96465,-25.02,-6.17,-1115.13,11.68,-8.66,-19.27,
96476,-25.32,-6.15,-1115.16,14.46,-6.75,-19.24,
96486,-25.60,-6.51,-1115.12,14.44,-5.42,-18.98,
96496,-24.70,-6.50,-1115.09,10.20,-6.72,-19.02,
96506,-23.96,-7.27,-1115.05,10.61,-3.86,-18.97,
96546,-25.19,-7.29,-1114.90,14.88,-5.45,-18.96,
96557,-25.22,-6.91,-1114.90,13.51,-7.92,-19.11,
96566,-24.47,-6.72,-1114.85,10.68,-7.30,-18.90,
96576,-24.65,-6.83,-1114.80,13.92,-6.23,-18.91,
96586,-24.91,-7.06,-1114.77,14.28,-5.79,-18.96,
96596,-25.03,-7.10,-1114.74,13.79,-6.45,-18.94,
96606,-24.97,-6.99,-1114.71,13.15,-6.99,-18.95,
96616,-24.77,-6.63,-1114.69,12.67,-7.90,-19.02,
96626,-24.01,-6.40,-1114.66,10.58,-7.50,-18.93,
96656,-23.88,-5.99,-1114.62,14.08,-6.73,-19.03,
96666,-23.75,-5.68,-1114.60,12.75,-7.87,-18.99,
96675,-23.48,-6.17,-1114.56,12.20,-4.98,-18.89,
96687,-23.51,-6.26,-1114.53,13.27,-6.38,-18.94,
96696,-23.53,-6.35,-1114.49,13.22,-6.38,-18.89,
96706,-23.77,-6.02,-1114.51,14.04,-7.90,-19.10,
96716,-23.67,-6.16,-1114.48,12.85,-6.24,-18.91,
96727,-23.52,-6.26,-1114.43,12.63,-6.32,-18.85,
96736,-23.80,-6.19,-1114.45,14.18,-6.98,-19.11,
96746,-24.19,-6.13,-1114.50,14.64,-6.93,-19.21,
96756,-24.31,-6.33,-1114.54,13.69,-6.00,-19.16,
96766,-24.35,-6.43,-1114.58,13.44,-6.31,-19.18,
96777,-24.07,-5.89,-1114.65,12.27,-8.64,-19.30,
96786,-24.25,-5.72,-1114.70,13.90,-7.38,-19.26,
96796,-23.74,-5.57,-1114.71,11.41,-7.31,-19.07,
96806,-23.70,-5.65,-1114.67,13.02,-6.52,-18.94,
96817,-23.86,-5.91,-1114.64,13.78,-5.83,-18.94,
96827,-24.01,-6.01,-1114.63,13.77,-6.39,-19.00,
96837,-23.93,-5.66,-1114.63,12.92,-8.01,-19.08,
